FietsNr;Voorraad;Merk;Type;Kleur;Cat.;Frame;Wielmaat;Jaar;Status;Demo;Maat;Versnellingen;Prijs
10130;Voorraad;Kokua;Loopfiets;oranje;Kinderfietsen ;Uni;12;2019;Nieuw;Nee; ;0;219
10146;Voorraad;Merida;MATTS J.20+;Metallic Orange;Kinderfietsen ;Uni;20;2021;Nieuw;Nee;"25 10&quot;";7;679
10152;Voorraad;Merida;E-Spresso CITY 800 EQ;Glossy Dark Blue;Stadsfietsen (elo);Uni;28;2021;Nieuw;Nee;43 S;5;4999
10154;Voorraad;Merida;E-Spresso CITY 800 EQ;Glossy Dark Blue;Stadsfietsen (elo);Uni;28;2021;Nieuw;Nee;43 ;5;4999
10160;Voorraad;Merida;E-Spresso CITY 800 EQ;Glossy Dark Blue;Stadsfietsen (elo);Dames;28;2021;Nieuw;Nee;53 L;5;4999
10216;Voorraad;Merida;ONE-TWENTY 700;Glossy Metallic Merida Green;Mountainbikes ;Heren;29;2021;Nieuw;Nee;44 M;12;3599
10218;Voorraad;Merida;Big Nine 700;Groen;Mountainbikes ;Uni;29;2021;Nieuw;Nee; L;24;2199
10248;Voorraad;Merida;MATTS J.20+;Glossy Light Blue;Kinderfietsen ;Uni;20;2021;Nieuw;Nee;"25 10&quot;";7;679
10250;Voorraad;Merida;Matts J.20+;Glossy Light Blue;Kinderfietsen ;Uni;20;2021;Nieuw;Nee;25 ;7;679
10252;Voorraad;Merida;Matts J.20+;Glossy Light Blue;Kinderfietsen ;Uni;20;2021;Nieuw;Nee;25 ;7;679
10256;Voorraad;Merida;Matts J.20+;Metallic Orange;Kinderfietsen ;Uni;20;2021;Nieuw;Nee;25 ;7;679
10258;Voorraad;Merida;Matts J.20+;Metallic Orange;Kinderfietsen ;Uni;20;2021;Nieuw;Nee;25 ;7;679
10302;Voorraad;Merida;Big Nine Xt;Zwart;Mountainbikes ;Heren;29;2021;Nieuw;Nee;43 ;12;3199
10948;Voorraad;Victoria;Trekking 4.7;supersonic silver  black;Hybride fietsen ;Heren;28;2021;Nieuw;Nee;56 56 cm;18;849
11284;Voorraad;Merida;Big Nine 200;Blauw;Mountainbikes ;Heren;0;2021;Nieuw;Nee; L;0;999
11288;Voorraad;Merida;Matts J 20+;Paars;Kinderfietsen ;Jongens;0;2021;Nieuw;Nee;0 ;0;679
11312;Voorraad;Merida;Big Nine Limited;Zwart;Mountainbikes ;Heren;0;2021;Nieuw;Nee;0 S;0;1499
11314;Voorraad;Merida;SILEX 4000;Rood;Racefietsen ;Heren;0;2021;Nieuw;Nee;53 L;0;2499
11328;Voorraad;Merida;Big Nine XT;Rood;Mountainbikes ;Heren;0;2021;Nieuw;Nee;0 L;0;3199
11338;Voorraad;Merida;Scultura 300;Zwart;Racefietsen ;Heren;0;2022;Nieuw;Nee;53 L;0;1499
11462;Voorraad;Merida;E-spresso Urban 300 EQ;Rood;Hybride fietsen (elo);Dames;0;2022;Nieuw;Nee;48 M;0;3599
11464;Voorraad;Merida;SPEEDER 400;Paars;Stadsfietsen ;Heren;0;2022;Nieuw;Nee;52 S-M;0;1349
11470;Voorraad;Merida;E-Spresso Urban 100 EQ;Grijs;Hybride fietsen (elo);Dames;0;2022;Nieuw;Nee;48 M;0;2999
11498;Voorraad;Merida;E-one sixty 700;Zilver;Mountainbikes (elo);Uni;0;2022;Nieuw;Nee; L;0;6799
11520;Voorraad;Gazelle;Ultimate C8+ HMB Belt;Rood;Stadsfietsen (elo);Dames;28;2021;Nieuw;Nee;53 ;8;3699
11578;Voorraad;Merida;E-big nine 400 EQ;Grijs;Mountainbikes (elo);Heren;0;2021;Nieuw;Nee;48 L;0;4399
11590;Voorraad;Merida;Matts J.24+;Rood;Mountainbikes ;Jongens;0;2021;Nieuw;Nee;0 11;0;699
